CustomerID,Age,Gender,Income,Purchases,Purchase_Frequency,Average_Purchase_Value,Tenure_Years,Engagement_Score,Churn
1001,56.0,female,109112.0,22.0,1,9626,2.1,39.0,1
1002,46.0,Male,117203.0,30.0,14,3542,1.5,36.0,0
1003,32.0,F,31130.0,17.0,3,4997,6.5,97.0,1
1004,60.0,M,107508.0,26.0,2,1966,7.2,36.0,0
1005,25.0,female,80566.0,36.0,2,4061,0.8,3.0,1
1006,38.0,male,,1.0,6,1114,9.4,73.0,0
1007,56.0,Male,47192.0,8.0,12,5892,1.0,8.0,0
1008,36.0,Male,21062.0,35.0,1,8193,5.6,97.0,0
1009,40.0,female,104076.0,15.0,2,9874,7.2,70.0,1
1010,28.0,male,109780.0,22.0,14,3723,8.8,41.0,1
1011,28.0,male,41545.0,14.0,6,7638,7.3,68.0,1
1012,41.0,F,41689.0,26.0,3,3167,8.1,13.0,1
1013,53.0,F,31174.0,28.0,4,8480,3.7,49.0,0
1014,57.0,F,108461.0,23.0,1,630,8.2,60.0,0
1015,41.0,F,29348.0,14.0,8,3483,1.3,2.0,0
1016,20.0,F,43714.0,24.0,13,4778,9.0,60.0,0
1017,39.0,F,58102.0,2.0,7,7626,5.7,5.0,0
1018,19.0,M,94460.0,26.0,7,8730,8.3,44.0,1
1019,41.0,male,109930.0,14.0,3,8194,4.8,27.0,0
1020,61.0,F,26801.0,7.0,10,7140,6.6,32.0,0
1021,,male,92267.0,3.0,10,5968,5.5,21.0,1
1022,55.0,male,68136.0,23.0,3,1420,7.5,8.0,1
1023,19.0,Female,43625.0,18.0,14,8064,1.3,72.0,0
1024,38.0,M,102873.0,38.0,2,9184,1.1,50.0,1
1025,50.0,F,92592.0,35.0,12,9823,2.8,67.0,0
1026,29.0,Male,97052.0,15.0,1,9002,2.0,44.0,0
1027,39.0,female,64261.0,25.0,7,9430,8.8,58.0,0
1028,61.0,Male,21542.0,37.0,7,3741,2.6,3.0,0
1029,42.0,M,41677.0,28.0,12,1045,9.8,86.0,1
1030,44.0,female,66732.0,10.0,2,4846,3.7,70.0,1
1031,59.0,M,70343.0,39.0,7,4310,2.2,2.0,0
1032,45.0,male,59081.0,17.0,13,7706,8.0,87.0,1
1033,33.0,female,82856.0,39.0,8,9505,6.8,44.0,0
1034,32.0,male,113105.0,22.0,1,2532,5.2,2.0,1
1035,64.0,Male,108858.0,26.0,9,8936,5.8,81.0,0
1036,61.0,Male,39065.0,25.0,7,771,7.3,35.0,0
1037,20.0,female,103460.0,17.0,3,4011,2.7,98.0,0
1038,54.0,female,108092.0,13.0,8,2271,10.0,87.0,1
1039,24.0,F,74693.0,20.0,7,9954,9.8,30.0,1
1040,38.0,M,46962.0,25.0,11,4861,6.7,8.0,1
1041,26.0,F,48295.0,4.0,13,7569,2.4,22.0,0
1042,56.0,M,33807.0,10.0,8,1420,7.0,44.0,0
1043,35.0,F,62348.0,3.0,6,8690,1.2,58.0,0
1044,21.0,male,46432.0,18.0,9,3930,0.8,36.0,0
1045,42.0,female,103285.0,36.0,5,4935,2.9,69.0,0
1046,31.0,Male,111792.0,,3,4260,4.9,77.0,1
