CustomerID,Age,Gender,Income,Purchases,Purchase_Frequency,Average_Purchase_Value,Tenure_Years,Engagement_Score,Churn,Income_K,Total_Spending,Purchase_Intensity,Customer_Value,Age_Group
1001,56.0,Female,109112.0,22.0,1,9626,2.1,39.0,1,109.112,211772.0,7.096774193548387,180974.0,Senior
1002,46.0,Male,117203.0,30.0,14,3542,1.5,36.0,0,117.203,106260.0,12.0,109542.9,Middle Age
1003,32.0,Female,31130.0,17.0,3,4997,6.5,97.0,1,31.13,84949.0,2.2666666666666666,68803.29999999999,Adult
1004,60.0,Male,107508.0,26.0,2,1966,7.2,36.0,0,107.508,51116.0,3.1707317073170733,68033.59999999999,Senior
1005,25.0,Female,80566.0,36.0,2,4061,0.8,3.0,1,80.566,146196.0,20.0,126507.0,Young
1006,38.0,Male,63125.0,1.0,6,1114,9.4,73.0,0,63.125,1114.0,0.09615384615384615,19717.3,Middle Age
1007,56.0,Male,47192.0,8.0,12,5892,1.0,8.0,0,47.192,47136.0,4.0,47152.799999999996,Senior
1008,36.0,Male,21062.0,35.0,1,8193,5.6,97.0,0,21.062,286755.0,5.303030303030304,207047.1,Middle Age
1009,40.0,Female,104076.0,15.0,2,9874,7.2,70.0,1,104.076,148110.0,1.829268292682927,134899.8,Middle Age
1010,28.0,Male,109780.0,22.0,14,3723,8.8,41.0,1,109.78,81906.0,2.2448979591836733,90268.2,Adult
1011,28.0,Male,41545.0,14.0,6,7638,7.3,68.0,1,41.545,106932.0,1.686746987951807,87315.9,Adult
1012,41.0,Female,41689.0,26.0,3,3167,8.1,13.0,1,41.689,82342.0,2.857142857142857,70146.09999999999,Middle Age
1013,53.0,Female,31174.0,28.0,4,8480,3.7,49.0,0,31.174,237440.0,5.957446808510638,175560.2,Senior
1014,57.0,Female,108461.0,23.0,1,630,8.2,60.0,0,108.461,14490.0,2.5,42681.3,Senior
1015,41.0,Female,29348.0,14.0,8,3483,1.3,2.0,0,29.348,48762.0,6.086956521739131,42937.8,Middle Age
1016,20.0,Female,43714.0,24.0,13,4778,9.0,60.0,0,43.714,114672.0,2.4,93384.59999999999,Young
1017,39.0,Female,58102.0,2.0,7,7626,5.7,5.0,0,58.102,15252.0,0.29850746268656714,28107.0,Middle Age
1018,19.0,Male,94460.0,26.0,7,8730,8.3,44.0,1,94.46,226980.0,2.7956989247311825,187224.0,Young
1019,41.0,Male,109930.0,14.0,3,8194,4.8,27.0,0,109.93,114716.0,2.413793103448276,113280.2,Middle Age
1020,61.0,Female,26801.0,7.0,10,7140,6.6,32.0,0,26.801,49980.0,0.9210526315789475,43026.3,Senior
1021,41.0,Male,92267.0,3.0,10,5968,5.5,21.0,1,92.267,17904.0,0.46153846153846156,40212.899999999994,Middle Age
1022,55.0,Male,68136.0,23.0,3,1420,7.5,8.0,1,68.136,32660.0,2.7058823529411766,43302.8,Senior
1023,19.0,Female,43625.0,18.0,14,8064,1.3,72.0,0,43.625,145152.0,7.82608695652174,114693.9,Young
1024,38.0,Male,102873.0,38.0,2,9184,1.1,50.0,1,102.873,348992.0,18.095238095238095,275156.3,Middle Age
